Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
1,17,054.0 056.0,19-4903CR-HY-060-0930-05400560-0200A-7,200,8.530000,33.87600,,26.31500,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200.0000,8.530000,8.510000,33.87600,26.31000,173.6000,0.410000,,,,,,,,,,201,,,,,,,,
1,18,054.0 056.0,19-4903CR-HY-060-0930-05400560-0221A-3,221,8.450000,,,,,,,3,2,,,9,9,9,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,221.0000,8.450000,8.430000,,,,0.440000,,,,,,,,,,222,,,,,,,,
1,19,054.0 056.0,19-4903CR-HY-060-0930-05400560-0250A-7,250,8.260000,33.92600,,26.39600,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,250.0000,8.260000,8.230000,33.92600,26.39000,166.8000,0.490000,,,,,,,,,,252,,,,,,,,
1,20,054.0 056.0,19-4903CR-HY-060-0930-05400560-0285A-3,285,7.960000,33.98000,,26.48300,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,285.0000,7.960000,7.930000,33.98000,26.48000,158.9000,0.550000,,,,,,,,,,287,,,,,,,,
1,21,054.0 056.0,19-4903CR-HY-060-0930-05400560-0300A-7,300,7.770000,33.99000,,26.51900,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,300.0000,7.770000,7.740000,33.99000,26.51000,155.7000,0.570000,,,,,,,,,,302,,,,,,,,
1,22,054.0 056.0,19-4903CR-HY-060-0930-05400560-0373A-3,373,6.800000,34.04000,,26.69500,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,373.0000,6.800000,6.770000,34.04000,26.69000,139.6000,0.680000,,,,,,,,,,376,,,,,,,,
1,23,054.0 056.0,19-4903CR-HY-060-0930-05400560-0400A-7,400,6.550000,34.05600,,26.74100,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,400.0000,6.550000,6.510000,34.05600,26.74000,135.4000,0.720000,,,,,,,,,,403,,,,,,,,
1,24,054.0 056.0,19-4903CR-HY-060-0930-05400560-0500A-7,500,5.780000,34.11300,,26.88500,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,500.0000,5.780000,5.740000,34.11300,26.88000,122.4000,0.850000,,,,,,,,,,504,,,,,,,,
1,25,054.0 056.0,19-4903CR-HY-060-0930-05400560-0598A-3,598,5.300000,34.16000,,26.98000,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,598.0000,5.300000,5.250000,34.16000,26.98000,114.0000,0.960000,,,,,,,,,,603,,,,,,,,
1,26,054.0 056.0,19-4903CR-HY-060-0930-05400560-0600A-7,600,5.290000,34.16100,,26.98200,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,600.0000,5.290000,5.240000,34.16100,26.98000,113.9000,0.970000,,,,,,,,,,605,,,,,,,,
